dt,Equad A-F TonHrs,Equad A-F Steam VM,Equad A-F KWH VM,Energy Research (G) TonHrs,Energy research (G) steam Meter,Energy Research (G) KWH VM,Equad J TonHrs,Equad J Steam Meter,Equad J KWH VM,Computer Science TonHrs,Computer Science Steam Meter,Computer Science KWH VM,Friends Center TonHrs,Friend Center Steam Meter,Friend Center KWH,Andlinger TonHrs,Andlinger Steam VM,Andlinger KWH VM
2018/09/22 0:00,,,19696.5,,,1763.5,3364.3,,9172.6,,,3629.6,1209.7,,,,,
2018/09/23 0:00,7493.2,,19051.1,4728.7,,1692.3,1856.4,,9082.4,1131.6,,3350.4,396.8,,,3861.5,15661,9112.2
2018/09/24 0:00,8370.3,5070.6,19503.3,4764.7,3053.7,1800,2334.2,948.1,9874.6,1232.6,8776,4090.6,723.4,517.3,,4448.2,15935.9,9949.5
2018/09/25 0:00,11696.8,4147.2,20175.2,4341.8,2037.2,1860.3,4289.6,644,9660.7,1563.3,9739,4101.9,1186.4,746.5,,7368.5,16017.4,10203.1
2018/09/26 0:00,10573.93333,2620,21710.5,2670.3,592.4,1858.9,3703.9,141.6,9935.8,1465.9,10439.2,4155.9,985.2666667,508,,6473.9,15200,10558.4
2018/09/27 0:00,9451.066667,4626.8,19488.7,998.8,3358.8,1786.5,3118.2,606.9,9682.9,1368.5,8499.1,4017.8,784.1333333,328.2,,5579.3,15392.6,9882.9
2018/09/28 0:00,8328.2,5075.6,19304.7,4717.6,3979.5,1816,2532.5,727.1,9692.4,1271.1,8441.8,3802.2,583,468,,4684.7,16054.2,10035
2018/09/29 0:00,7834.6,5785.3,18471.8,4662,1089.4,1640.5,2228.9,456.6,8790.9,1108.3,8361,3245.6,898.8,1036.5,1918.8,4336.4,15950.5,9466
2018/09/30 0:00,7230.2,6481.2,18754.1,4559,3507,1659.5,1928.5,510.6,8860.8,1120.4,8289.4,3281.3,770.5,1001.6,1859.1,3861.6,16745.8,9367.1
2018/10/01 0:00,10166.9,4980.15,19936.85,4409.7,2558.8,1771.35,3502.05,450.15,9459.9,1448.1,8415.75,3741.7,1189.9,655.55,1941.15,6008.5,16049.5,9933.6
2018/10/02 0:00,13103.6,3479.1,21119.6,4260.4,1610.6,1883.2,5075.6,389.7,10059,1775.8,8542.1,4202.1,1609.3,309.5,2023.2,8155.4,15353.2,10500.1
2018/10/03 0:00,10994.8,3964.9,20174.4,4578.7,3448.8,1856.7,3971.3,422.5,9776.8,1607.3,8261.1,4081.4,1495.5,277.3,2068.2,6513.2,15469.1,10227.4
2018/10/04 0:00,11743.8,4630.6,20649.7,4613.9,2291.8,1891.7,4368.7,378.5,9764.5,1593.1,8873,4130.7,1158.3,403.5,1993.3,7291.6,15726.8,10431.1
2018/10/05 0:00,8820.8,4749.3,20010.2,4742.3,3528.7,1816.5,2569.7,528.8,9560.7,1331.5,8213.5,3932.4,910.7,233.5,2003.4,4839.8,15247.7,10290.1
2018/10/06 0:00,10375.3,4719.9,19773.2,4561.3,3896.8,1681,3178.7,305.3,8833,1417.5,8565.8,3567.9,1047.8,950,1915.8,6135.5,15439,9670.8
2018/10/07 0:00,13964.9,3052,20220.9,4444.1,2590.9,1677.4,5202.6,187.6,8929.6,1824.3,10059,3596.7,1239.6,697.4,1752.1,9032,14653.8,9719.1
2018/10/08 0:00,12421.3,3761.1,20627.2,4355.4,3234.8,1760.7,4721.6,532.5,9777.1,1730.2,9621,4209.2,1316,473.6,2038.5,7908.2,15034.7,10304.4
2018/10/09 0:00,14190.6,3095,21689.4,4352.5,1766.6,1803.9,5740,440.3,9994,1899.2,9388.6,4230.5,1562.5,357.2,2073,9151.2,14260.7,10278.9
2018/10/10 0:00,14729.6,2856.4,21506.6,4394.9,1073.4,1821,5879.2,321.7,10000.5,1986.6,8971.6,4107.4,1704.7,322.6,2016.8,9504.3,13795.2,10596.1
2018/10/11 0:00,15117.3,2519.8,21278.2,4352.2,1035.4,1835.9,6139.3,244.3,9886,2070,9396.3,4115.7,1736.4,305.2,1993.6,10096.9,13852,10615.6
2018/10/12 0:00,5746.7,7384.9,18622.6,4488.1,3357.6,1755.3,1541.8,553.3,9545.4,1118.6,8339.8,3935.4,412.3,417.6,2037.3,3234.8,15490.5,10074
