dt,Frick Chemistry TonHrs,Frick Chemistry Steam meter,Frick Chemistry KWH VM,Moffitt Lab Steam Meter,Moffitt Lab KWh,Neuro Science TonHrs,Neuro Science Steam Meter,Neuro Science KWH VM,Fine Hall TonHrs,Fine Hall Steam Meter,Fine Hall KWH VM,Jadwin Physics TonHrs VM,Jadwin Physics Steam VM,Jadwin physics KWH VM
2018/09/22 0:00,12585,,22365.5,,,,,,,,,8370.5,,
2018/09/23 0:00,6871.8,,21807.3,,,,1494.5,,,,,5534.5,20762.4,
2018/09/24 0:00,8515.3,40343.7,24451.3,8339.1,,7705.3,1472.3,,,19351.9,,6695,23072.4,
2018/09/25 0:00,19365.5,46028.5,25733.2,7789.6,,13009.6,1283.3,,,18978.5,,10060.3,24655.6,
2018/09/26 0:00,15870.86667,36214.3,26839.7,8365.7,,18401.3,766,,,19463.3,,14285.7,24881.7,
2018/09/27 0:00,12376.23333,40571.2,25606.4,7773.3,,8543,733,,,19427.9,,7388.7,23075.7,
2018/09/28 0:00,8881.6,46306.9,25239.3,7875.1,,8356.1,1258.6,,,19142.2,,7333.1,21298.9,
2018/09/29 0:00,8010.2,34885.6,23235.1,7537,2591.2,7177.7,1130.7,17273.8,,19417.6,,6848.6,23267.5,
2018/09/30 0:00,7223.8,34979.8,22563.1,7439.9,2611.1,6485.3,1194.5,16829.3,,19495.6,,6154.4,22804.8,
2018/10/01 0:00,14533.85,40683.55,24000.5,7552.7,2692.1,10464.75,1077.2,17379.45,,19349.15,,8878.7,23545.45,
2018/10/02 0:00,21843.9,46387.3,25437.9,7665.5,2773.1,14444.2,959.9,17929.6,2535.5,19202.7,,11603,24286.1,
2018/10/03 0:00,14716.5,44506.6,25491,7650.3,2751.3,11397.1,1087,17923.8,2138.5,19077.5,,9484.9,23211.4,
2018/10/04 0:00,18916.8,47983.4,25038.9,7929.7,2769.4,12456.2,1385.5,17746.6,2279.6,19176.5,4750.9,10158.3,22584.1,16276
2018/10/05 0:00,8857.1,30110.4,24522.1,7896.4,2720.5,8167.3,685.1,17544.8,1498.9,19249.5,4874.2,7366.1,23454,16247.9
2018/10/06 0:00,13292,43046.4,23338.9,7474.9,2620.7,11210.7,1476.3,16873.9,1348.5,19628.9,4261.6,8185.2,21619.9,15474
2018/10/07 0:00,23543.9,39131.9,23404.4,7449.9,2650.2,16337.4,1255.8,16960.6,1876.8,19674.2,3997.1,11974.3,24065.4,15062.5
2018/10/08 0:00,20221.7,50739.3,24350.6,8060.7,2800.3,14152.6,1120.6,17808.5,2280,19411,4774.5,11367.1,24506.2,17469.2
2018/10/09 0:00,25789.5,48868.9,25227,8159.3,2803.3,16129.4,1396.6,17876.6,2551.3,19626.1,4908.8,13400.5,25282,18918
2018/10/10 0:00,8943,46547.9,25975.4,8013.1,2808.7,16518.9,1031.6,17473.9,2544.1,19604.5,4703.3,13476.6,24159.7,18057.5
2018/10/11 0:00,8402.32,46558.8,25844.3,7730.7,2761.2,17407.9,907.9,17400.7,2806.6,19637.7,4755.8,13345.3,23745.8,16501.1
2018/10/12 0:00,7861.64,60439.2,24216.1,6946.8,2720.2,6097.4,6101.2,16965.3,1130.5,17319.1,4669.2,5245.2,20109.7,16547
2018/10/13 0:00,7320.96,76181.3,22998.3,6930.5,2602.6,3211.2,8126.6,16076.1,666,18983.7,4052.6,3700.3,30711.7,15667.3
2018/10/14 0:00,6780.28,77352.5,22804.4,6952.5,2596,2863.4,16957.5,15990.9,652.2,18862.6,4073,4291.8,31243,15738.3
2018/10/15 0:00,6239.6,53560.5,25252.8,7724,2717.2,7289.6,2858.2,16971.8,1143.3,18765.1,4793.3,7690.2,26119.7,17002.5
2018/10/16 0:00,5208.8,100414.8,25113.1,8222.8,2730.8,3630,26211.9,16986.6,736,18573.6,4860.1,4302.9,31169.2,15735.8
2018/10/17 0:00,5736.1,103729,25662.4,7798.6,2741.9,3861.3,30104.7,16966.6,812.5,18897.1,4734,4808.4,33555.9,17285.3
2018/10/18 0:00,3691.5,136294.1,25734.4,7653,2761,3357.3,45303.7,17068,835.2,22107.5,4878.6,4576,42194.4,18265.8
2018/10/19 0:00,4804.1,112566.6,25860.8,7658,2769.8,3642.7,32076.5,16777.9,784.6,20898.8,4713.1,4394.2,34001.2,17301.2
2018/10/20 0:00,5592.6,52910.3,23572.6,7131.1,2654.4,3745.3,2671.8,16230,629.2,18894.4,3947.4,4255.2,23574.8,14764.2
2018/10/21 0:00,3990.7,118562.5,23558.6,6755.4,2632.9,2923.8,36135.6,16250.1,551,21845.1,4078,2844.2,40953.2,15498.5
2018/10/22 0:00,3766.5,131777.2,25570.3,7438.7,2773.5,3121.5,41527.4,16936.6,787.1,22625.1,4997.9,3252.6,40044.4,17005
2018/10/23 0:00,5184.6,96107.9,24798.4,7519.7,2711,3956.6,25244.9,16735.8,877.9,18864,5043.7,4715,30050,16394.9
2018/10/24 0:00,5017.448387,114001.1,24695.4,8008.6,2714.4,2937.8,38848.6,17001.9,857.9,20670.7,5121.5,4020.7,35120.2,16230
2018/10/25 0:00,4850.296774,140761.8,25366.4,7431.8,2751.3,3340.9,42114.9,17125.4,841.3,22924,5218.3,3769.8,39420.4,16566.7
