timestamp,B161 Elipse Dorm CHW,B161 Elipse Dorm STM,B161 Elipse Dorm ELE,B27 Computer Science CHW,B27 Computer Science STM,B27 Computer Science ELE,B130 Jadwin Physics CHW,B130 Jadwin Physics STM,B130 Jadwin Physics ELE
2012/07/01 00:00:00,1250.82,237,0,1438,3162,0,8284,853,0
2012/07/02 00:00:00,1007.04,239,0,1682,3108,0,6892,877,0
2012/07/03 00:00:00,1037.32,330,0,1608,3163,0,7612,611,0
2012/07/04 00:00:00,1347.98,202,0,1448,3200,0,7826,71,0
2012/07/05 00:00:00,1317.18,203,0,1767,3654,0,7835,484,0
2012/07/06 00:00:00,1035.33,142,0,1679,3204,0,5580,549,0
2012/07/07 00:00:00,1414.71,27,0,1571,3332,0,8155,726,0
2012/07/08 00:00:00,1444.82,14,0,1526,3387,0,7027,421,0
2012/07/09 00:00:00,1062.16,105,0,1727,3339,0,6354,200,0
2012/07/10 00:00:00,1015.85,174,0,1663,3351,0,7170,21,0
2012/07/11 00:00:00,1097.36,171,0,1656,3336,0,7330,1099,0
2012/07/12 00:00:00,1061.73,151,0,1657,3354,0,6873,725,0
2012/07/13 00:00:00,1097.73,104,0,1648,3382,0,7522,899,0
2012/07/14 00:00:00,1152.12,35,0,1344,3441,0,7349,580,0
2012/07/15 00:00:00,1353.53,31,0,1400,3400,0,8616,693,0
2012/07/16 00:00:00,1324.89,55,0,1728,3369,0,6804,930,0
2012/07/17 00:00:00,1233.15,143,0,1715,3332,0,6419,594,0
2012/07/18 00:00:00,1474.93,96,0,1840,3279,0,9500,680,0
2012/07/19 00:00:00,1354.75,82,0,1687,3474,0,7799,558,0
2012/07/20 00:00:00,906.99,83,0,1524,4594,0,6056,525,0
2012/07/21 00:00:00,760.87,168,0,1221,4202,0,5831,822,0
2012/07/22 00:00:00,924.79,391,0,1284,3768,0,6209,626,0
2012/07/23 00:00:00,1212.58,372,0,1736,3374,0,7674,962,0
2012/07/24 00:00:00,1327.07,235,0,1801,4238,0,8068,1091,0
2012/07/25 00:00:00,866.42,226,0,1617,3340,0,5409,1010,0
2012/07/26 00:00:00,1192.7,254,0,1697,3307,0,8038,764,0
